FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f46,02128,Im Erdberger Mais,1,3,1905-04-14,10002073,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f47,02099,Hugo-Wolf-Gasse,1,6,1903-10-23,10002044,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f48,05303,Wiesmühlgasse,1,23,1973-01-05,10005195,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f49,03406,Niedermeierweg,1,22,1988-10-13,10003332,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4a,03308,Müllnermaisgasse,1,22,1922-07-12,10003236,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4b,04511,Packesgasse,1,23,1988-03-11,10004412,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4c,03161,Meischlgasse,1,23,1955-12-07,10003089,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4d,05313,Wildbadgasse,1,21,1961-04-26,10005205,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4e,00158,Am Spitz,1,21,1973-05-01,10000148,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f4f,02902,Ligusterweg,1,18,1967-01-17,10002834,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f50,03852,Ranzenhofergasse,1,13,1947-06-30,10003771,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f51,09268,Kruisgasse,1,22,1975-09-01,10006670,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f52,01827,Haspelmeistergasse,1,14,1958-07-23,10001776,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f53,00888,Dommesgasse,1,11,1902-07-10,10000856,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f54,04240,Schiffamtsgasse,1,2,1923-06-30,10004149,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f55,02592,Konradgasse,1,2,1854-06-30,10002527,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f56,05663,Karl-Kolarik-Weg,1,2,1996-03-28,10005533,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f57,01762,Hallergasse,1,11,1894-01-01,10001712,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f58,01229,Floßgasse,1,2,1886-06-07,10001189,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f59,02732,Lackierergasse,1,9,1973-01-05,10002666,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5a,00064,Alfred-Grünfeld-Gasse,1,9,1947-06-30,10000061,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5b,00877,Dr.-Schober-Straße,1,13,1973-01-05,10000846,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5c,01945,Hertlgasse,1,16,1897-07-17,10001891,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5d,09615,Tethysgasse,1,2,2014-06-02,10006953,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5e,04401,Schußwallgasse,1,5,1862-06-30,10004304,1113,Gemeindestraße
