"Streetname","District","Type"
"Rädtnergasse","16","Gemeindestraße"
"Grüllemeiergasse","16","Gemeindestraße"
"Jara-Benes-Gasse","21","Gemeindestraße"
"Giselhergasse","15","Gemeindestraße"
"Blumenbindergasse","22","Gemeindestraße"
"Straße der Menschenrechte","22","Gemeindestraße"
"Engelshofengasse","23","Gemeindestraße"
"Gottfried-Keller-Gasse","3","Gemeindestraße"
"Friedensbrücke","9|20","Brücke"
"Bahnhofstraße","14","Gemeindestraße"
"Mittelgasse","6","Gemeindestraße"
"Maxingstraße","13","Gemeindestraße"
"Pater-Schwartz-Gasse","15","Gemeindestraße"
"Rumplerweg","16","Gemeindestraße"
"Paul-Katzberger-Gasse","23","Gemeindestraße"
"St.-Hubertus-Gasse","13","Gemeindestraße"
"Wolfengasse","1","Gemeindestraße"
"Schwarzenbergstraße","1","Gemeindestraße"
"Fugbachgasse","2","Gemeindestraße"
"Mühlbachergasse","13","Gemeindestraße"
"Blaschkagasse","10","Gemeindestraße"
"Siebenbrunnenplatz","5","Gemeindestraße"
"Kronesgasse","19","Gemeindestraße"
"Mölker Gasse","8","Gemeindestraße"
"Weißgasse","17","Gemeindestraße"
"Grüne Stube","14","Gemeindestraße"
"Leitenwaldplatz","13","Gemeindestraße"
"Kapellenweg","22","Gemeindestraße"
"Meranerweg","23","Gemeindestraße"
"Laurentiusplatz","14","Gemeindestraße"
"Müchgasse","11","Gemeindestraße"
"Ignazgasse","12","Gemeindestraße"
"Döblergasse","7","Gemeindestraße"
"Bennoplatz","8","Gemeindestraße"
"Adamsgasse","3","Gemeindestraße"
"Slamastraße","23","Gemeindestraße"
"Riegermühle","23","Gemeindestraße"
"Angoraweg","22","Gemeindestraße"
"Elise-Richter-Weg","21","Gemeindestraße"
"Gerunggasse","16","Gemeindestraße"
"Freudenauer Hafenbrücke mittleres Tragw.","2|11","Brücke"
"Walkergasse","21","Gemeindestraße"
"Fillgradergasse","6","Gemeindestraße"
"Altmannsdorfer Anger","12","Gemeindestraße"
"Doderergasse","21","Gemeindestraße"
"Anzengruberstraße","14","Gemeindestraße"
"Josef-Kainzmayer-Gasse","22","Gemeindestraße"
"Florian-Berndl-Gasse","22","Gemeindestraße"
"Leopoldsdorfer Straße","10","Gemeindestraße"
"Lichtblaustraße","22","Gemeindestraße"
"Karl-Aschenbrenner-Gasse","21","Gemeindestraße"
"Karl-Leeder-Gasse","14","Gemeindestraße"
"Grünentorgasse","9","Gemeindestraße"
"Alexander-Nehr-Gasse","9","Gemeindestraße"
"Leebgasse","10","Gemeindestraße"
"Ettenreichgasse","10","Gemeindestraße"
"Apollogasse","7","Gemeindestraße"
"Haspingergasse","8","Gemeindestraße"
"Prechtlgasse","9","Gemeindestraße"
"Ada-Christen-Gasse","10","Gemeindestraße"
"Zülowgasse","10","Gemeindestraße"
"Rädda-Barnen-Platz","10","Gemeindestraße"
"Wallenberggasse","22","Gemeindestraße"
"Franz-Salmhofer-Platz","9","Gemeindestraße"
"Scheunenstraße","10","Gemeindestraße"
"Pötzleinsdorfer Höhe","18","Gemeindestraße"
"Holzhausergasse","2","Gemeindestraße"
"Kleine Wegbrücke","17","Brücke"
"Wodiczkagasse","22","Gemeindestraße"
"Johann-Treixler-Gasse","21","Gemeindestraße"
"Ahornergasse","7","Gemeindestraße"
"Leopoldigasse","23","Gemeindestraße"
"Maria-Andergast-Weg","22","Gemeindestraße"
"Geistingergasse","19","Gemeindestraße"
"Cobdengasse","1","Gemeindestraße"
"Loquaiplatz","6","Gemeindestraße"
"Haindlgasse","11","Gemeindestraße"
"Kerbelgasse","14","Gemeindestraße"
"Grohmannstraße","22","Gemeindestraße"
"Schloßallee","14|15","Gemeindestraße"
"Fitzweg","22","Weg in Kleingartenanlage"
"Chrastekgasse","2","Gemeindestraße"
"Winklergasse","17","Gemeindestraße"
"Mareschplatz","15","Gemeindestraße"
"Waidhausenstraße","14","Gemeindestraße"
"Julius-Payer-Gasse","22","Gemeindestraße"
"Auerspergstraße","1|8","Gemeindestraße"
"Aschbachgasse","23","Gemeindestraße"
"Josef-Pommer-Gasse","13","Gemeindestraße"
"Königgasse","13","Gemeindestraße"
"Keylwerthgasse","17|18|19","Gemeindestraße"
"Josef-Prokop-Straße","14","Gemeindestraße"
"Amundsenstraße","14|17","Gemeindestraße"
"Jakob-Puggl-Weg","14","Gemeindestraße"
"Lammgasse","8","Gemeindestraße"
"Pouthongasse","15","Gemeindestraße"
"Beingasse","15","Gemeindestraße"
"Max-Hegele-Weg","12","Gemeindestraße"
"Hauffgasse","11","Gemeindestraße"
"Kaiser-Ebersdorfer Straße","11","Gemeindestraße"
"Tamariskenzeile","22","Gemeindestraße"
"Dassanowskyweg","22","Gemeindestraße"
"Preindlgasse","13","Gemeindestraße"
"Josef-Gangl-Gasse","13","Gemeindestraße"
"Kardinal-Piffl-Gasse","13","Gemeindestraße"
"Unterer Weisleitenweg","19","Gemeindestraße"
"Högelmüllergasse","5","Gemeindestraße"
"Meinhartsdorfer Gasse","15","Gemeindestraße"
"Litfaßstraße","3|11","Gemeindestraße"
"Nothartgasse","13","Gemeindestraße"
"Genochplatz","22","Gemeindestraße"
"Präuscherplatz","2","Gemeindestraße"
"Am langen Felde","22","Gemeindestraße"
"Gernotgasse","15","Gemeindestraße"
"Romanogasse","20","Gemeindestraße"
"Ackerweg","21","Gemeindestraße"
"Kellermanngasse","7","Gemeindestraße"
"Edi-Finger-Straße","21","Gemeindestraße"
"Am Rollerdamm","21","Gemeindestraße"
"Winkeläckerweg","21","Gemeindestraße"
"Minzengasse","22","Gemeindestraße"
"Larwingasse","22","Gemeindestraße"
"Rautenweg","22","Gemeindestraße"
"Allerheiligengasse","20","Gemeindestraße"
"Kardinal-Nagl-Platz","3","Gemeindestraße"
"Schönbrunner Graben","17|18","Gemeindestraße"
"Hernalser Hauptstraße","17","Gemeindestraße"
"Rauhensteingasse","1","Gemeindestraße"
"Karl-Schäfer-Straße","21","Gemeindestraße"
"Murmanngasse","22","Gemeindestraße"
"Gegenbauerweg","21","Gemeindestraße"
"Petrus-Klotz-Gasse","17","Weg in Kleingartenanlage"
"Carl-Schlechter-Weg","22","Gemeindestraße"
"Ferdinand-Frey-Weg","14","Gemeindestraße"
"Eßlinger Hauptstraße","22","Gemeindestraße"
"Taglieberstraße","23","Gemeindestraße"
"Floristenweg","22","Gemeindestraße"
"Marilaungasse","3","Gemeindestraße"
"Lerchenfelder Straße","7|8","Gemeindestraße"
"Durchlaß Praterstern","2","lokaler (interner) Straßenname"
"Gilberto-Bosques-Promenade","22","Gemeindestraße"
"Blümelhubergasse","16","Gemeindestraße"
"Zwölfpfenniggasse","10","Gemeindestraße"
"Gerstnerstraße","15","Gemeindestraße"
"Dr.-Josef-Resch-Platz","17","Gemeindestraße"
"Magdalenenstraße","6","Gemeindestraße"
"Pachmayergasse","11","Gemeindestraße"
"Schönborngasse","8","Gemeindestraße"
"Leitgebgasse","5","Gemeindestraße"
"Sanettystraße","8","Gemeindestraße"
"Reischachstraße","1","Gemeindestraße"
"Erzherzog-Johann-Platz","4","Gemeindestraße"
"Romichgasse","22","Gemeindestraße"
"Schulzgasse","21","Gemeindestraße"
"Putzendoplergasse","23","Gemeindestraße"
"KLG Willendorf","23","Kleingartenanlage"
"KLG Am Hörndlwald","13","Kleingartenanlage"
"KLG Schafberg Süd","17","Kleingartenanlage"
"KLG Hackenberg Gräf und Stift","19","Kleingartenanlage"
"KLG Petzgrund","21","Kleingartenanlage"
"KLG Sonnheim Eigengründe","22","Kleingartenanlage"
"Schönbrunner Allee","12","Gemeindestraße"
"Schrottenbachgasse","18|19","Gemeindestraße"
"Lohsinggasse","22","Gemeindestraße"
"Japanischer Steg","19","Brücke"
"Pagodensteg","19","Brücke"
"Unterführung Hirschstettner Straße","22","Unterführung"
"Gewerbeparkbrücke","22","Brücke"
"Stiege Pokornygasse","19","Gemeindestraße"
"Stiege Professor-Jodl-Hof","19","Gebrauchsname"
"Kandlgasse","7","Gemeindestraße"
"Würtzlerstraße","3","Gemeindestraße"
"KLG Russwasser","22","Kleingartenanlage"
"Mannswörther Tunnel","11","Tunnel"
"KLG ÖBB Süssenbrunn 2079 (Nord-Schleife)","22","Kleingartenanlage"
"KLG Thujasee","22","Kleingartenanlage"
"KLG Klebindergasse","11","Kleingartenanlage"
"Dornbach","16|17","Fließgewässer"
"Landaugasse","22","Gemeindestraße"
"Anton-Freunschlag-Gasse","23","Gemeindestraße"
"Filmteichstraße","10","Gemeindestraße"
"Brücke Leopoldsdorfer Straße","10","Brücke"
"Wolkersbergenstraße","13","Gemeindestraße"
"Kurzbauergasse","2","Gemeindestraße"
"St.-Georg-Brücke","19","Brücke"
"Wöhlergasse","10","Gemeindestraße"
"Ramwiesenweg","14","Gemeindestraße"
"Hasensteig","14","Gemeindestraße"
"Meiselstraße","14|15","Gemeindestraße"
"Kauerhof","15","Gemeindestraße"
"Odoakergasse","16","Gemeindestraße"
"Badhaussteg","13|14","Brücke"
"Peschkaweg","13","Gemeindestraße"
"Margetinstraße","11","Gemeindestraße"
"Max-Winter-Platz","2","Gemeindestraße"
"Wittelsbachstraße","2","Gemeindestraße"
"Prochstraße","14","Gemeindestraße"
"Proschkogasse","6","Gemeindestraße"
"Anton-von-Webern-Platz","3","Gemeindestraße"
"Emil-Behring-Weg","12|23","Gemeindestraße"
"Gumpendorfer Straße","6","Gemeindestraße"
"Mühlwasserpromenade","22","Gemeindestraße"
"August-Reuss-Gasse","13","Gemeindestraße"
"Blaasstraße","19","Gemeindestraße"
"Bernatzikgasse","19","Gemeindestraße"
"Entersweg","22","Weg in Kleingartenanlage"
"Seeadlerweg","22","Gemeindestraße"
"Kefedergrundgasse","21","Gemeindestraße"
"Alois-Negrelli-Gasse","21","Gemeindestraße"
"Jodok-Fink-Platz","8","Gemeindestraße"
"Kinzerplatz","21","Gemeindestraße"
"Lichtenauergasse","2","Gemeindestraße"
"Resselgasse","4","Gemeindestraße"
"Börnsteingasse","21","Gemeindestraße"
"Friedrich-Engels-Platz","20","Gemeindestraße"
"Roßauer Brücke","2|9","Brücke"
"Gestettengasse","3","Gemeindestraße"
"Vinzenz-Heß-Gasse","13","Gemeindestraße"
"Linkweg","13","Gemeindestraße"
"Kampfstraße","14","Gemeindestraße"
"Fußweg Adolfstorgasse","13","Gebrauchsname"
"Sankt-Johann-Gasse","5","Gemeindestraße"
"Grenzackerstraße","10","Gemeindestraße"
"Liesingbachstraße","10","Gemeindestraße"
"Gumpendorfer Gürtel","6","Gemeindestraße"
"Gürtelbrücke über den Donaukanal","9|19|20","Brücke"
"Waltenhofengasse","10","Gemeindestraße"
"Hüttenbrennergasse","3","Gemeindestraße"
"Maria-Rekker-Gasse","10","Gemeindestraße"
"Birneckergasse","21","Gemeindestraße"
"Kratochwjlestraße","22","Gemeindestraße"
"Dr.-Skala-Straße","21","Gemeindestraße"
"Adolfstorsteg","13","Brücke"
"Tiergartendurchlaß","13","lokaler (interner) Straßenname"
"Lackenbachbrücke","13","Brücke"
"Weißgerberlände","3","Gemeindestraße"
"Bauernmarkt","1","Gemeindestraße"
"Petersplatz","1","Gemeindestraße"
"Jungferngasse","1","Gemeindestraße"
"Franklinstraße","21","Gemeindestraße"
"Czeija-Nissl-Gasse","21","Gemeindestraße"
"Lieleggweg","21","Gemeindestraße"
"Wenckebachgasse","19","Gemeindestraße"
"Stoß im Himmel","1","Gemeindestraße"
"Klanggasse","2","Gemeindestraße"
"Mariahilfer Straße","6|7|14|15","Gemeindestraße"
"Zitterhofergasse","7","Gemeindestraße"
"Möllwaldplatz","4","Gemeindestraße"
"Grünlandgasse","2","Gemeindestraße"
"D'Orsaygasse","9","Gemeindestraße"
"Heizmannhof","2","städtische Wohnhausanlage"
"Kaisersteiggasse","23","Gemeindestraße"
"Heimstättenstraße","14","Gemeindestraße"
"Rothenburgstraße","12","Gemeindestraße"
"Klemmweg","21","Weg in Kleingartenanlage"
"Hadersbergensteig","23","Gemeindestraße"
"Binsenweg","22","Gemeindestraße"
"Pombergerweg","22","Weg in Kleingartenanlage"
"Maria-Grengg-Gasse","23","Gemeindestraße"
"Pellmannbrücke","23","Brücke"
"Koniczekweg","14","Gemeindestraße"
"Johann-Schorsch-Gasse","14","Gemeindestraße"
"Winterleitengasse","16","Gemeindestraße"
"Jörgerbadgasse","17","Gemeindestraße"
"Hammerschmiedgraben","19","Gemeindestraße"
"Fred-Raymond-Gasse","22","Gemeindestraße"
"Theodor-Storm-Weg","16","Gemeindestraße"
"An der Kuhtrift","10","Gemeindestraße"
"Stralehnergasse","22","Gemeindestraße"
"Floridsdorfer Markt","21","Gemeindestraße"
"St.-Hubertus-Platz","13","Gemeindestraße"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Jasmingasse","22","Gemeindestraße"
"Spandlgasse","22","Gemeindestraße"
"Otto-Glöckel-Weg","22","Gemeindestraße"
"Im Gereute","23","Gemeindestraße"
"Bickellgasse","12","Gemeindestraße"
"Wegschüttbrücke","13","Brücke"
"Stockwiesenbrücke","13","Brücke"
"Erster Rosenbachsteg","14","Brücke"
"Dritter Rosenbachsteg","14","Brücke"
"Wolfsgrabensteg","14","Brücke"
"Wurzbachtalbrücke","14","Brücke"
"Am Tivoli","12","städtische Wohnhausanlage"
"Sulzengasse","23","Gemeindestraße"
"Dittersdorfgasse","17","Gemeindestraße"
"Rohrbacherstraße","13","Gemeindestraße"
"Johann-Orth-Weg","21","Gemeindestraße"
"Gmündstraße","21","Gemeindestraße"
"Eichendorffgasse","19","Gemeindestraße"
"Brucknerstraße","4","Gemeindestraße"
"Mitterwurzergasse","19","Gemeindestraße"
"Probusgasse","19","Gemeindestraße"
"Donabaumgasse","10","Gemeindestraße"
"Ulmenstraße","14","Gemeindestraße"
"Brigittenauer Brücke-Flutbrücke","21","Brücke"
"Grünbergstraße","12|13","Gemeindestraße"
"Lobmeyrgasse","16","Gemeindestraße"
"Kirchstetterngasse","16","Gemeindestraße"
"Tilgnergasse","23","Gemeindestraße"
"Seidengasse","7","Gemeindestraße"
"Mittersteig","4|5","Gemeindestraße"
"Waldandachtsbrücke","17","Brücke"
"Penkgasse","21","Gemeindestraße"
"Sizzogasse","22","Gemeindestraße"
"Saltenstraße","22","Gemeindestraße"
"Preßburger Gasse","21","Gemeindestraße"
"Hießgasse","3","Gemeindestraße"
"Göttweihergasse","1","Gemeindestraße"
"Alexander-Poch-Platz","2","Gemeindestraße"
"Gartenheimstraße","22","Gemeindestraße"
"Kolingasse","9","Gemeindestraße"
"Nußdorfer Straße","9","Gemeindestraße"
"Teichhausbrücke 2","13","Brücke"
"Holzplatzbrücke","13","Brücke"
"Ober-Laaer Platz","10","Gemeindestraße"
"Dr.-Kühne-Gasse","23","Gemeindestraße"
"Englisch-Feld-Gasse","22","Gemeindestraße"
"Schenkendorfgasse","21","Gemeindestraße"
"Baumergasse","21","Gemeindestraße"
"Romaplatz","21","Gemeindestraße"
"Reibergasse","23","Gemeindestraße"
"Rehgasse","21","Weg in Kleingartenanlage"
"Gänseblümchenweg","22","Gemeindestraße"
"Colerusgasse","22","Gemeindestraße"
"Stockwiesenweg","17","Gemeindestraße"
"Alte Laaer Straße","10","Gemeindestraße"
"Pulkaugasse","21","Gemeindestraße"
"Josef-Kraft-Weg","13","Gemeindestraße"
"Kermaunerweg","22","Gemeindestraße"
"Türkisgasse","21","Gemeindestraße"
"Hans-Pollak-Weg","22","Gemeindestraße"
"Lagerwiesenweg","22","Gemeindestraße"
"In der Wiesen","23","Gemeindestraße"
"Stelzerau-Steg","23","Brücke"
"Minorgasse","14","Gemeindestraße"
"Clerfaytgasse","17","Gemeindestraße"
"Girlitzweg","14","Gemeindestraße"
"Wolf in der Au Brücke","14","Brücke"
"Lisztstraße","3","Gemeindestraße"
"Kastanienallee","12","Gemeindestraße"
"Bienenweg","17","Gemeindestraße"
"Hermann-Leopoldi-Weg","12","Gemeindestraße"
"Elisabeth-Bergner-Weg","23","Gemeindestraße"
"Hohenfeldgasse","22","Gemeindestraße"
"Tigergasse","8","Gemeindestraße"
"Auparkweg","22","Gemeindestraße"
"Josef-Türk-Gasse","21","Gemeindestraße"
"Mühlschüttelgasse","21","Gemeindestraße"
"Herbert-Böhm-Gasse","11","Gemeindestraße"
"Raffelspergergasse","19","Gemeindestraße"
"Christophgasse","5","Gemeindestraße"
"Stolzenthalergasse","8","Gemeindestraße"
"Vera-Ferra-Mikura-Weg","17","Gemeindestraße"
"Pachmüllergasse","12","Gemeindestraße"
"Gaßmannstraße","12|13","Gemeindestraße"
"KGA Ernteland Veitingergasse","13","Kleingartenanlage"
"Blattgasse","3","Gemeindestraße"
"Sechskrügelgasse","3","Gemeindestraße"
"Irene-Jerusalem-Weg","13","Gemeindestraße"
"KLG Jupiter","14","Kleingartenanlage"
"KLG Ried Tiefau","17","Kleingartenanlage"
"KLG Jägerhaus","12","Kleingartenanlage"
"Konrad-Grefe-Gasse","23","Gemeindestraße"
"Funkengerngasse","16","Gemeindestraße"
"Dreiständegasse","23","Gemeindestraße"
"Lindauergasse","23","Gemeindestraße"
"Neusserplatz","15","Gemeindestraße"
"Fultonstraße","21","Gemeindestraße"
