2632-grafenbach-st-valentin
2620-grafenbach-st-valentin
2624-st-egyden-am-steinfeld
2630-grafenbach-st-valentin
2731-st-egyden-am-steinfeld
2870-aspangberg-st-peter
2880-st-corona-am-wechsel
2870-st-corona-am-wechsel
2872-aspangberg-st-peter
2873-aspangberg-st-peter
3100-st-poelten
3104-st-poelten
3105-st-poelten
3107-st-poelten
3109-st-poelten
3193-st-aegyd-am-neuwalde
3195-st-aegyd-am-neuwalde
3161-st-veit-an-der-goelsen
3151-st-poelten
3140-st-poelten
3150-st-veit-an-der-goelsen
3160-st-veit-an-der-goelsen
3162-st-veit-an-der-goelsen
3163-st-veit-an-der-goelsen
3231-st-margarethen-an-der-sierning
3213-st-anton-an-der-jessnitz
3243-st-leonhard-am-forst
3214-st-anton-an-der-jessnitz
3222-st-aegyd-am-neuwalde
3282-st-georgen-an-der-leys
3240-st-leonhard-am-forst
3241-st-leonhard-am-forst
3242-st-georgen-an-der-leys
3242-st-anton-an-der-jessnitz
3270-st-anton-an-der-jessnitz
3283-st-anton-an-der-jessnitz
3282-st-anton-an-der-jessnitz
3292-st-anton-an-der-jessnitz
3304-st-georgen-am-ybbsfelde
3352-st-peter-in-der-au
3344-st-georgen-am-reith
3350-st-peter-in-der-au
3350-st-valentin
3376-st-martin-karlsbach
3385-st-poelten
3413-st-andrae-woerdern
3423-st-andrae-woerdern
3422-st-andrae-woerdern
3580-st-bernhard-frauenhofen
3572-st-leonhard-am-hornerwald
3684-st-oswald
3680-st-oswald
3683-st-oswald
3971-st-martin
3970-st-martin
4084-st-agatha
4076-st-marienkirchen-an-der-polsenz
4083-st-agatha
4091-st-roman
4112-st-gotthard-im-muehlkreis
4113-st-martin-im-muehlkreis
4116-st-ulrich-im-muehlkreis
4170-st-oswald-bei-haslach
4170-st-stefan-am-walde
4114-st-martin-im-muehlkreis
4170-st-peter-am-wimberg
4171-st-peter-am-wimberg
4171-st-stefan-am-walde
4172-st-johann-am-wimberg
4173-st-veit-im-muehlkreis
4172-st-veit-im-muehlkreis
4174-st-veit-im-muehlkreis
4175-st-veit-im-muehlkreis
4184-st-johann-am-wimberg
4184-st-stefan-am-walde
4184-st-peter-am-wimberg
4222-st-georgen-an-der-gusen
4223-st-georgen-an-der-gusen
4251-st-oswald-bei-freistadt
4271-st-oswald-bei-freistadt
4272-st-leonhard-bei-freistadt
4282-st-thomas-am-blasenstein
4294-st-leonhard-bei-freistadt
4293-st-leonhard-bei-freistadt
4294-st-oswald-bei-freistadt
4300-st-valentin
4303-st-pantaleon-erla
4322-st-thomas-am-blasenstein
4364-st-thomas-am-blasenstein
4381-st-nikola-an-der-donau
4362-st-thomas-am-blasenstein
4363-st-thomas-am-blasenstein
4371-st-georgen-am-walde
4372-st-georgen-am-walde
4382-st-nikola-an-der-donau
4400-st-ulrich-bei-steyr
4490-st-florian
4442-st-peter-in-der-au
4442-st-ulrich-bei-steyr
4443-st-peter-in-der-au
4443-st-ulrich-bei-steyr
4451-st-ulrich-bei-steyr
4482-st-valentin
4491-st-marien
4502-st-marien
4572-st-pankraz
4521-st-marien
4644-st-konrad
4710-st-georgen-bei-grieskirchen
4774-st-marienkirchen-bei-schaerding
4713-st-georgen-bei-grieskirchen
4715-st-georgen-bei-grieskirchen
4725-st-aegidi
4725-st-roman
4730-st-agatha
4732-st-thomas
4732-st-marienkirchen-an-der-polsenz
4760-st-willibald
4762-st-willibald
4773-st-marienkirchen-bei-schaerding
4782-st-florian-am-inn
4793-st-roman
4792-st-roman
4794-st-aegidi
4817-st-konrad
4880-st-georgen-im-attergau
4963-st-peter-am-hart
4926-st-marienkirchen-am-hausruck
4973-st-martin-im-innkreis
4983-st-georgen-bei-obernberg-am-inn
4943-st-georgen-bei-obernberg-am-inn
4962-st-peter-am-hart
5120-st-pantaleon
5121-st-radegund
5121-st-pantaleon
5122-st-radegund
5144-st-georgen-am-fillmannsbach
5242-st-johann-am-walde
5273-st-veit-im-innkreis
5241-st-johann-am-walde
5251-st-johann-am-walde
5280-st-peter-am-hart
5274-st-peter-am-hart
5310-st-lorenz
5360-st-wolfgang-im-salzkammergut
6184-st-sigmund-im-sellrain
6791-st-gallenkirch
6380-st-johann-in-tirol
6392-st-jakob-in-haus
6393-st-ulrich-am-pillersee
6481-st-leonhard-im-pitztal
6580-st-anton-am-arlberg
6771-st-anton-im-montafon
6722-st-gerold
6787-st-gallenkirch
8274-buch-st-magdalena
8272-buch-st-magdalena
8294-buch-st-magdalena
8321-st-margarethen-an-der-raab
8311-st-margarethen-an-der-raab
8323-st-margarethen-an-der-raab
8322-st-margarethen-an-der-raab
8672-st-kathrein-am-hauenstein
8630-st-aegyd-am-neuwalde
8671-st-kathrein-am-hauenstein
8673-st-kathrein-am-hauenstein
8694-st-aegyd-am-neuwalde
8843-st-peter-am-kammersberg
8832-st-peter-am-kammersberg
8842-st-peter-am-kammersberg
9063-st-veit-an-der-glan
9122-st-kanzian-am-klopeiner-see
9104-st-andrae
9184-st-jakob-im-rosental
9112-st-andrae
9112-st-paul-im-lavanttal
9173-st-margareten-im-rosental
9554-st-urban
9182-st-jakob-im-rosental
9183-st-jakob-im-rosental
9300-st-veit-an-der-glan
9300-st-georgen-am-laengsee
9314-st-georgen-am-laengsee
9313-st-georgen-am-laengsee
9373-klein-st-paul
9321-st-georgen-am-laengsee
9372-klein-st-paul
9374-klein-st-paul
9400-frantschach-st-gertraud
9470-st-paul-im-lavanttal
9470-st-georgen-im-lavanttal
9470-st-andrae
9413-frantschach-st-gertraud
9421-st-andrae
9423-st-georgen-im-lavanttal
9462-bad-st-leonhard-im-lavanttal
9422-st-andrae
9433-st-andrae
9431-st-andrae
9433-st-paul-im-lavanttal
9441-bad-st-leonhard-im-lavanttal
9461-bad-st-leonhard-im-lavanttal
9463-bad-st-leonhard-im-lavanttal
9472-st-paul-im-lavanttal
9473-st-paul-im-lavanttal
9556-st-veit-an-der-glan
9556-st-urban
9623-st-stefan-im-gailtal
9614-st-stefan-im-gailtal
9615-st-stefan-im-gailtal
9711-st-stefan-im-gailtal
9952-st-johann-im-walde
9962-st-veit-in-defereggen
9963-st-jakob-in-defereggen
